"pair","Round","Correct","Guesser_ID","Guesser_SD","Speaker_ID","Speaker_SD","total_attempts"
"1",1,3,101,0,102,0,4
"1",2,0,102,0,101,0,1
"1",3,3,101,0,102,0,6
"1",4,3,102,0,101,0,4
"1",5,5,101,0,102,0,5
"1",6,4,102,0,101,0,6
"10",1,2,119,0,120,1,3
"10",2,3,120,1,119,0,6
"10",3,2,119,0,120,1,5
"10",4,3,120,1,119,0,4
"10",5,3,119,0,120,1,3
"10",6,3,120,1,119,0,4
"101",1,2,301,1,302,1,3
"101",2,1,302,1,301,1,3
"101",3,0,301,1,302,1,1
"101",4,1,302,1,301,1,3
"101",5,1,301,1,302,1,3
"101",6,2,302,1,301,1,4
"103",1,0,305,0,306,0,1
"103",2,0,306,0,305,0,2
"103",3,2,305,0,306,0,3
"103",4,0,306,0,305,0,4
"103",5,0,305,0,306,0,4
"103",6,2,306,0,305,0,2
"11",1,2,121,0,122,1,3
"11",2,0,122,1,121,0,1
"11",3,0,121,0,122,1,2
"11",4,1,122,1,121,0,5
"11",5,0,121,0,122,1,4
"11",6,1,122,1,121,0,4
"13",1,2,125,1,126,1,3
"13",2,0,126,1,125,1,1
"13",3,2,125,1,126,1,3
"13",4,2,126,1,125,1,3
"13",5,4,125,1,126,1,4
"13",6,0,126,1,125,1,3
"14",1,1,127,1,128,0,2
"14",2,3,128,0,127,1,4
"14",3,2,127,1,128,0,5
"14",4,2,128,0,127,1,5
"14",5,0,127,1,128,0,5
"14",6,2,128,0,127,1,4
"15",1,0,129,0,130,1,1
"15",2,1,130,1,129,0,2
"15",3,1,129,0,130,1,2
"15",4,1,130,1,129,0,2
"15",5,1,129,0,130,1,3
"15",6,3,130,1,129,0,4
"16",1,2,131,1,132,0,3
"16",2,1,132,0,131,1,1
"16",3,3,131,1,132,0,4
"16",4,2,132,0,131,1,5
"16",5,3,131,1,132,0,4
"16",6,0,132,0,131,1,2
"17",1,1,133,0,134,0,2
"17",2,0,134,0,133,0,3
"17",3,0,133,0,134,0,1
"17",4,1,134,0,133,0,2
"17",5,0,133,0,134,0,1
"17",6,3,134,0,133,0,4
"18",1,4,135,1,136,1,5
"18",2,2,136,1,135,1,2
"18",3,4,135,1,136,1,5
"18",4,2,136,1,135,1,3
"18",5,0,135,1,136,1,2
"18",6,4,136,1,135,1,4
"19",1,2,137,0,138,0,3
"19",2,1,138,0,137,0,2
"19",3,1,137,0,138,0,2
"19",4,1,138,0,137,0,2
"19",5,2,137,0,138,0,4
"19",6,2,138,0,137,0,2
"2",1,1,103,0,104,0,3
"2",2,5,104,0,103,0,6
"2",3,3,103,0,104,0,4
"2",4,1,104,0,103,0,4
"2",5,1,103,0,104,0,3
"2",6,0,104,0,103,0,2
"20",1,1,139,0,140,0,3
"20",2,2,140,0,139,0,5
"20",3,1,139,0,140,0,3
"20",4,1,140,0,139,0,4
"20",5,2,139,0,140,0,5
"20",6,2,140,0,139,0,3
"22",1,2,143,1,144,1,3
"22",2,4,144,1,143,1,4
"22",3,2,143,1,144,1,3
"22",4,1,144,1,143,1,2
"22",5,2,143,1,144,1,3
"22",6,2,144,1,143,1,3
"23",1,0,145,1,146,1,1
"23",2,1,146,1,145,1,4
"23",3,2,145,1,146,1,3
"23",4,5,146,1,145,1,5
"23",5,0,145,1,146,1,4
"23",6,0,146,1,145,1,2
"24",1,1,147,1,149,0,2
"24",2,3,149,0,147,1,4
"24",3,4,147,1,149,0,4
"24",4,3,149,0,147,1,4
"24",5,2,147,1,149,0,4
"24",6,4,149,0,147,1,4
"26",1,1,151,0,152,1,4
"26",2,2,152,1,151,0,4
"26",3,2,151,0,152,1,7
"26",4,1,152,1,151,0,7
"26",5,2,151,0,152,1,6
"26",6,3,152,1,151,0,9
"27",1,3,153,1,154,0,4
"27",2,2,154,0,153,1,4
"27",3,4,153,1,154,0,6
"27",4,3,154,0,153,1,3
"27",5,1,153,1,154,0,4
"27",6,2,154,0,153,1,5
"28",1,2,155,0,156,0,3
"28",2,2,156,0,155,0,4
"28",3,1,155,0,156,0,2
"28",4,4,156,0,155,0,5
"28",5,1,155,0,156,0,5
"28",6,2,156,0,155,0,4
"3",1,1,105,1,106,1,4
"3",2,0,106,1,105,1,2
"3",3,3,105,1,106,1,5
"3",4,1,106,1,105,1,2
"3",5,5,105,1,106,1,5
"3",6,2,106,1,105,1,3
"30",1,2,159,0,160,0,3
"30",2,1,160,0,159,0,4
"30",3,4,159,0,160,0,6
"30",4,4,160,0,159,0,7
"30",5,4,159,0,160,0,5
"30",6,3,160,0,159,0,4
"31",1,0,161,0,162,0,1
"31",2,0,162,0,161,0,1
"31",3,0,161,0,162,0,1
"31",4,1,162,0,161,0,2
"31",5,2,161,0,162,0,3
"31",6,0,162,0,161,0,1
"32",1,1,163,0,164,0,2
"32",2,3,164,0,163,0,4
"32",3,4,163,0,164,0,5
"32",4,1,164,0,163,0,2
"32",5,4,163,0,164,0,4
"32",6,3,164,0,163,0,5
"33",1,1,165,0,166,1,4
"33",2,2,166,1,165,0,3
"33",3,1,165,0,166,1,5
"33",4,0,166,1,165,0,3
"33",5,1,165,0,166,1,4
"33",6,2,166,1,165,0,4
"34",1,3,167,1,168,0,5
"34",2,3,168,0,167,1,5
"34",3,1,167,1,168,0,5
"34",4,3,168,0,167,1,5
"34",5,0,167,1,168,0,5
"34",6,3,168,0,167,1,7
"36",1,0,171,1,172,1,2
"36",2,0,172,1,171,1,2
"36",3,0,171,1,172,1,1
"36",4,0,172,1,171,1,1
"36",5,1,171,1,172,1,1
"36",6,1,172,1,171,1,3
"37",1,0,173,0,174,1,1
