"Pair","Correct","Woman","TimeSec","Age_beskrivare","Age_byggare","SD_beskrivare","SD_byggare","efficiency","efficiency_scaled"
1,9,"1",354,27,25,"0","0",0.0254237288135593,1.71532188958832
2,9,"1",549,24,22,"0","0",0.0163934426229508,0.512098524863594
3,4,"1",465,24,22,"1","1",0.00860215053763441,-0.526037419066641
5,7,"1",508,38,45,"0","1",0.0137795275590551,0.1638123673821
6,7,"1",423,19,23,"1","0",0.016548463356974,0.532753968695202
8,4,"0",590,21,21,"1","1",0.00677966101694915,-0.768871580351035
9,9,"0",506,29,NA,"0","0",0.0177865612648221,0.697721977360196
10,9,"1",393,22,22,"0","1",0.0229007633587786,1.37915414035988
11,1,"1",600,22,20,"0","1",0.00166666666666667,-1.4501428198344
12,6,"0",NA,41,37,"1","1",NA,NA
14,9,"1",437,19,19,"1","0",0.0205949656750572,1.07192249910059
15,5,"1",560,21,23,"0","1",0.00892857142857143,-0.482544086250882
16,9,"1",427,26,30,"1","0",0.0210772833723653,1.13618800634719
17,5,"1",600,42,42,"0","0",0.00833333333333333,-0.561855457856089
18,7,"1",600,21,24,"1","1",0.0116666666666667,-0.117711776866932
19,9,"0",475,20,25,"0","0",0.0189473684210526,0.852391526346227
20,4,"1",592,27,31,"0","0",0.00675675675675676,-0.77192341508069
22,9,"0",484,19,20,"1","1",0.0185950413223141,0.805446369982431
23,9,"1",573,20,22,"1","1",0.0157068062827225,0.420608967368617
24,9,"1",453,23,21,"1","0",0.0198675496688742,0.974999332321623
26,5,"1",600,24,21,"0","1",0.00833333333333333,-0.561855457856089
27,6,"1",600,39,43,"1","0",0.01,-0.33978361736151
28,6,"1",584,23,20,"0","0",0.0102739726027397,-0.30327865728021
30,9,"0",483,26,22,"0","0",0.0186335403726708,0.810576102964442
31,9,"0",490,19,20,"0","0",0.0183673469387755,0.775107663488822
32,7,"1",600,23,27,"0","0",0.0116666666666667,-0.117711776866932
33,0,"0",494,20,18,"0","1",0,-1.67221466032898
34,8,"0",600,21,20,"1","0",0.0133333333333333,0.104360063627647
36,2,"0",600,22,26,"1","1",0.00333333333333333,-1.22807097933982
37,5,"1",600,21,21,"0","1",0.00833333333333333,-0.561855457856089
38,9,"1",494,32,34,"1","1",0.0182186234817814,0.75529128839718
39,3,"1",600,23,21,"1","1",0.005,-1.00599913884525
40,9,"1",365,22,24,"0","0",0.0246575342465753,1.61323174698807
41,9,"1",338,45,41,"0","1",0.0266272189349112,1.87567864934772
42,9,"0",476,19,23,"0","0",0.0189075630252101,0.847087731836404
43,8,"1",480,26,28,"0","0",0.0166666666666667,0.548503744616803
44,9,"0",600,21,21,"0","0",0.015,0.326431904122225
45,9,"0",339,25,25,"1","1",0.0265486725663717,1.86521288737227
46,5,"0",600,42,45,"0","1",0.00833333333333333,-0.561855457856089
47,7,"1",600,25,24,"1","1",0.0116666666666667,-0.117711776866932
48,8,"1",341,19,18,"0","0",0.0234604105571848,1.45372327038649
49,0,"1",600,38,32,"0","0",0,-1.67221466032898
51,7,"1",370,27,23,"0","0",0.0189189189189189,0.848600826366234
52,9,"1",487,18,19,"1","0",0.0184804928131417,0.790183571027741
53,9,"0",600,37,31,"1","1",0.015,0.326431904122225
54,8,"1",600,27,27,"0","0",0.0133333333333333,0.104360063627647
55,4,"1",455,21,20,"0","0",0.00879120879120879,-0.500846710467468
56,9,"1",511,25,22,"1","1",0.0176125244618395,0.674532773468912
57,9,"1",357,28,30,"1","1",0.0252100840336134,1.68685519589153
58,6,"1",600,19,18,"0","0",0.01,-0.33978361736151
59,9,"1",452,21,18,"1","1",0.0199115044247788,0.980856000446956
60,8,"0",382,19,18,"0","0",0.0209424083769634,1.11821684326782
61,7,"1",399,19,24,"1","1",0.0175438596491228,0.665383660666581
62,2,"0",600,21,23,"0","0",0.00333333333333333,-1.22807097933982
63,7,"1",488,22,24,"1","1",0.014344262295082,0.239059376714522
64,3,"1",454,23,21,"1","1",0.0066079295154185,-0.79175361872052
65,7,"0",418,21,18,"0","0",0.0167464114832536,0.55912919153042
66,0,"1",600,30,26,"0","1",0,-1.67221466032898
67,9,"1",298,27,23,"1","0",0.0302013422818792,2.35190593923721
68,9,"1",332,22,19,"1","1",0.0271084337349398,1.93979720313705
69,7,"1",600,32,36,"1","0",0.0116666666666667,-0.117711776866932
70,5,"0",600,37,42,"1","1",0.00833333333333333,-0.561855457856089
71,5,"0",600,33,28,"0","0",0.00833333333333333,-0.561855457856089
72,9,"1",581,28,NA,"1","0",0.0154905335628227,0.391792118794467
73,9,"0",470,19,18,"1","0",0.0191489361702128,0.879249038970431
74,7,"0",539,24,25,"1","1",0.012987012987013,0.0582152656027991
76,0,"0",259,24,19,"0","1",0,-1.67221466032898
77,3,"1",600,30,26,"0","0",0.005,-1.00599913884525
78,5,"0",600,27,29,"0","1",0.00833333333333333,-0.561855457856089
79,0,"0",600,27,28,"1","0",0,-1.67221466032898
80,7,"0",573,23,22,"1","0",0.012216404886562,-0.0444629498975161
81,0,"1",600,21,25,"1","1",0,-1.67221466032898
82,5,"0",580,27,22,"1","1",0.00862068965517241,-0.523567209494955
83,2,"0",600,24,23,"1","1",0.00333333333333333,-1.22807097933982
84,9,"0",524,23,27,"0","0",0.017175572519084,0.616311940187667
85,1,"0",600,19,21,"0","1",0.00166666666666667,-1.4501428198344
86,5,"0",600,22,19,"1","1",0.00833333333333333,-0.561855457856089
87,4,"1",600,27,26,"0","0",0.00666666666666667,-0.783927298350667
88,7,"0",600,NA,33,"1","0",0.0116666666666667,-0.117711776866932
89,9,"0",545,25,23,"0","0",0.0165137614678899,0.528130181268677
90,0,"1",600,23,27,"1","0",0,-1.67221466032898
91,9,"0",357,21,19,"1","0",0.0252100840336134,1.68685519589153
93,5,"0",509,25,26,"0","1",0.00982318271119843,-0.363343301814766
94,3,"1",600,42,44,"0","0",0.005,-1.00599913884525
95,6,"0",600,26,25,"0","1",0.01,-0.33978361736151
96,6,"1",600,27,28,"1","1",0.01,-0.33978361736151
99,7,"0",600,20,25,"1","1",0.0116666666666667,-0.117711776866932
101,4,"0",600,26,26,"1","1",0.00666666666666667,-0.783927298350667
103,1,"0",600,18,20,"0","0",0.00166666666666667,-1.4501428198344
